Comp_Name	Box_Name	Subtype_NO	BoardIn_NO	Scan_NO	CAD_X	CAD_Y	CAD_Width	CAD_Height	Board_Side	Solder_ThicknessN1_Layer1	Solder_Area_Layer1	Absolute_Height_Layer1	Solder_ThicknessN1_Layer2	Solder_Area_Layer2	Absolute_Height_Layer2	Solder_ThicknessN1_Layer3	Solder_Area_Layer3	Solder_PTH_Filling_PIP_Layer3	Absolute_Height_Layer3	Short_Left1_Layer4	Short_Top1_Layer4	Short_Right1_Layer4	Short_Bottom1_Layer4	Absolute_Height_Layer4	Location_X(pixel)	Location_Y(pixel)	Initial_H	Retry_H	Laser_Height	
C100_1	2	0	1	22	110.800	249.000	1.500	1.500	Bottom	18.0	0.5792	-0.383696	37.8	1.0407	-1.333696	39.7	0.5937	100.0000	-1.808696	0.0	0.0	0.0	0.0	-2.283696	8880	4466	-2.283696	-2.283696	-2.283696	
C100_1	2	0	1	23	110.800	249.000	1.500	1.500	Bottom	18.1	0.5685	-0.386243	37.6	1.0408	-1.336243	39.8	0.5937	100.0000	-1.811243	0.0	0.0	0.0	0.0	-2.286243	8880	4466	-2.286243	-2.286243	-2.286243	
C100_1	2	0	1	24	110.800	249.000	1.500	1.500	Bottom	18.3	0.5743	-0.383179	37.7	1.0407	-1.333179	39.8	0.5937	100.0000	-1.808179	0.0	0.0	0.0	0.0	-2.283180	8880	4466	-2.283179	-2.283180	-2.283179	
C100_1	2	0	1	25	110.800	249.000	1.500	1.500	Bottom	18.3	0.5768	-0.383534	37.8	1.0407	-1.333534	39.9	0.5937	100.0000	-1.808534	0.0	0.0	0.0	0.0	-2.283534	8880	4466	-2.283534	-2.283534	-2.283534	
C100_1	2	0	1	26	110.800	249.000	1.500	1.500	Bottom	18.2	0.5812	-0.386374	37.7	1.0408	-1.336374	40.1	0.5937	100.0000	-1.811374	0.0	0.0	0.0	0.0	-2.286374	8880	4466	-2.286374	-2.286374	-2.286374	
C100_1	2	0	1	27	110.800	249.000	1.500	1.500	Bottom	18.2	0.5671	-0.384271	37.5	1.0407	-1.334271	39.7	0.5937	100.0000	-1.809271	0.0	0.0	0.0	0.0	-2.284271	8880	4466	-2.284271	-2.284271	-2.284271	
C100_1	2	0	1	28	110.800	249.000	1.500	1.500	Bottom	18.2	0.5812	-0.386499	37.8	1.0408	-1.336499	39.9	0.5937	100.0000	-1.811499	0.0	0.0	0.0	0.0	-2.286499	8880	4466	-2.286499	-2.286499	-2.286499	
C100_1	2	0	1	29	110.800	249.000	1.500	1.500	Bottom	18.1	0.5707	-0.385854	37.7	1.0408	-1.335854	40.0	0.5937	100.0000	-1.810854	0.0	0.0	0.0	0.0	-2.285854	8880	4466	-2.285854	-2.285854	-2.285854	
C100_1	2	0	1	30	110.800	249.000	1.500	1.500	Bottom	18.2	0.5812	-0.385614	37.6	1.0408	-1.335614	39.8	0.5937	100.0000	-1.810614	0.0	0.0	0.0	0.0	-2.285614	8880	4466	-2.285614	-2.285614	-2.285614	
C100_2	2	0	1	1	0.000	0.000	0.000	0.000	Bottom	32.7	0.8471	-0.262237	41.7	1.6912	-1.212237	37.3	1.0068	100.0000	-1.687237	0.0	0.0	0.0	0.0	-2.162237	12521	7084	-2.162237	-2.162237	-2.162237	
C100_2	2	0	1	2	0.000	0.000	0.000	0.000	Bottom	32.5	0.8322	-0.258754	41.6	1.6952	-1.208754	37.4	1.0068	100.0000	-1.683754	0.0	0.0	0.0	0.0	-2.158754	12521	7083	-2.158754	-2.158754	-2.158754	
C100_2	2	0	1	3	0.000	0.000	0.000	0.000	Bottom	32.5	0.8274	-0.259236	41.7	1.6883	-1.209236	37.6	1.0068	100.0000	-1.684236	0.0	0.0	0.0	0.0	-2.159236	12521	7083	-2.159236	-2.159236	-2.159236	
C100_2	2	0	1	4	0.000	0.000	0.000	0.000	Bottom	32.5	0.8760	-0.259421	41.6	1.6838	-1.209421	37.4	1.0068	100.0000	-1.684421	0.0	0.0	0.0	0.0	-2.159421	12521	7083	-2.159421	-2.159421	-2.159421	
C100_2	2	0	1	5	0.000	0.000	0.000	0.000	Bottom	32.8	0.8234	-0.259254	41.7	1.6847	-1.209254	37.6	1.0068	100.0000	-1.684254	0.0	0.0	0.0	0.0	-2.159254	12521	7084	-2.159254	-2.159254	-2.159254	
C100_2	2	0	1	6	0.000	0.000	0.000	0.000	Bottom	32.7	0.8252	-0.279490	41.7	1.6957	-1.229490	37.1	1.0071	100.0000	-1.704490	0.0	0.0	0.0	0.0	-2.179490	12521	7084	-2.179490	-2.179490	-2.179490	
C100_2	2	0	1	7	0.000	0.000	0.000	0.000	Bottom	32.8	0.8711	-0.259074	41.8	1.6899	-1.209074	37.6	1.0068	100.0000	-1.684074	0.0	0.0	0.0	0.0	-2.159074	12521	7084	-2.159074	-2.159074	-2.159074	
C100_2	2	0	1	8	0.000	0.000	0.000	0.000	Bottom	32.6	0.7888	-0.259377	41.6	1.6875	-1.209377	37.3	1.0068	100.0000	-1.684377	0.0	0.0	0.0	0.0	-2.159377	12521	7084	-2.159377	-2.159377	-2.159377	
C100_2	2	0	1	9	0.000	0.000	0.000	0.000	Bottom	32.7	0.8667	-0.259776	41.8	1.6847	-1.209776	37.6	1.0068	100.0000	-1.684776	0.0	0.0	0.0	0.0	-2.159776	12521	7084	-2.159776	-2.159776	-2.159776	
C100_2	2	0	1	10	0.000	0.000	0.000	0.000	Bottom	32.8	0.8535	-0.259652	41.8	1.6969	-1.209652	37.6	1.0068	100.0000	-1.684652	0.0	0.0	0.0	0.0	-2.159652	12521	7084	-2.159652	-2.159652	-2.159652	
C100_2	2	0	1	11	0.000	0.000	0.000	0.000	Bottom	32.6	0.7613	-0.269916	41.7	1.6800	-1.219916	37.2	1.0070	100.0000	-1.694916	0.0	0.0	0.0	0.0	-2.169915	12521	7084	-2.169915	-2.169915	-2.169915	
C100_2	2	0	1	12	0.000	0.000	0.000	0.000	Bottom	32.8	0.7467	-0.260336	41.7	1.6875	-1.210336	37.5	1.0068	100.0000	-1.685336	0.0	0.0	0.0	0.0	-2.160336	12521	7084	-2.160337	-2.160336	-2.160337	
